"seqnames"	"start"	"end"	"width"	"strand"	"gene_id"	"entrezgene"	"ensembl_gene_id"
"13860"	"chr6"	150139934	150186199	46266	"-"	"LRP11"	84918	"ENSG00000120256"
"13861"	"chr1"	204372515	204380919	8405	"-"	"PPP1R15B"	84919	"ENSG00000158615"
"13862"	"chr12"	34175216	34182629	7414	"+"	"ALG10"	84920	"ENSG00000139133"
"13863"	"chr19"	56102746	56113336	10591	"-"	"FIZ1"	84922	"ENSG00000179943"
"13864"	"chr17"	71203492	71232892	29401	"-"	"FAM104A"	84923	"ENSG00000133193"
"13865"	"chr19"	36936021	36980804	44784	"-"	"ZNF566"	84924	"ENSG00000186017"
"13866"	"chr3"	122513642	122599986	86345	"+"	"DIRC2"	84925	"ENSG00000138463"
"13867"	"chr12"	53458388	53473204	14817	"-"	"SPRYD3"	84926	"ENSG00000167778"
"13868"	"chr7"	129804555	129847610	43056	"-"	"TMEM209"	84928	"ENSG00000146842"
"13869"	"chr9"	133777825	133814673	36849	"-"	"FIBCD1"	84929	"ENSG00000130720"
"13870"	"chr10"	27443753	27475853	32101	"+"	"MASTL"	84930	"ENSG00000120539"
"13871"	"chr14"	21927179	21945132	17954	"-"	"RAB2B"	84932	"ENSG00000129472"
"13872"	"chr8"	124232196	124253638	21443	"-"	"C8orf76"	84933	"ENSG00000189376"
"13873"	"chr12"	113623331	113630173	6843	"+"	"RITA1"	84934	"ENSG00000139405"
"13874"	"chr13"	31480328	31499709	19382	"+"	"MEDAG"	84935	"ENSG00000102802"
"13875"	"chr15"	41099284	41106767	7484	"+"	"ZFYVE19"	84936	"ENSG00000166140"
"13876"	"chr16"	75032928	75144892	111965	"+"	"ZNRF1"	84937	"ENSG00000186187"
"13877"	"chr1"	63249806	63331184	81379	"+"	"ATG4C"	84938	"ENSG00000125703"
"13878"	"chr19"	1285890	1378430	92541	"+"	"MUM1"	84939	"ENSG00000160953"
"13879"	"chr17"	27941774	27949925	8152	"-"	"CORO6"	84940	"ENSG00000167549"
"13880"	"chr19"	16244838	16269386	24549	"+"	"HSH2D"	84941	"ENSG00000196684"
"13881"	"chr15"	85185999	85197574	11576	"-"	"WDR73"	84942	"ENSG00000177082"
"13882"	"chr1"	166958346	166991451	33106	"+"	"MAEL"	84944	"ENSG00000143194"
"13883"	"chr13"	108870727	108886603	15877	"+"	"ABHD13"	84945	"ENSG00000139826"
"13884"	"chr6"	144164481	144184949	20469	"+"	"LTV1"	84946	"ENSG00000135521"
"13885"	"chr6"	158530536	158589312	58777	"-"	"SERAC1"	84947	"ENSG00000122335"
"13886"	"chr8"	144680074	144682485	2412	"+"	"TIGD5"	84948	"ENSG00000179886"
"13887"	"chr1"	52870236	52886511	16276	"+"	"PRPF38A"	84950	"ENSG00000134748"
"13888"	"chr17"	38632080	38657849	25770	"-"	"TNS4"	84951	"ENSG00000131746"
"13889"	"chr15"	57668165	57842925	174761	"+"	"CGNL1"	84952	"ENSG00000128849"
"13890"	"chr11"	12297627	12380691	83065	"+"	"MICALCL"	84953	"ENSG00000133808"
"13891"	"chr19"	4343524	4360083	16560	"+"	"MPND"	84954	"ENSG00000008382"
"13892"	"chr8"	110253148	110346614	93467	"-"	"NUDCD1"	84955	"ENSG00000120526"
"13893"	"chr11"	73087309	73108519	21211	"+"	"RELT"	84957	"ENSG00000054967"
"13894"	"chr1"	27668513	27680421	11909	"+"	"SYTL1"	84958	"ENSG00000142765"
"13895"	"chr11"	122526383	122685181	158799	"+"	"UBASH3B"	84959	"ENSG00000154127"
"13896"	"chr9"	139690802	139702193	11392	"+"	"CCDC183"	84960	"ENSG00000213213"
"13897"	"chr17"	37415384	37558776	143393	"-"	"FBXL20"	84961	"ENSG00000108306"
"13898"	"chr14"	23440383	23451851	11469	"-"	"AJUBA"	84962	"ENSG00000129474"
"13899"	"chr19"	36500022	36505141	5120	"-"	"ALKBH6"	84964	"ENSG00000239382"
"13900"	"chr1"	18434240	18704977	270738	"+"	"IGSF21"	84966	"ENSG00000117154"
"13901"	"chr1"	36856839	36863493	6655	"-"	"LSM10"	84967	"ENSG00000181817"
"13902"	"chrX"	152240839	152340864	100026	"+"	"PNMA6A"	84968	"ENSG00000224201"
"13903"	"chr20"	42543504	42698256	154753	"+"	"TOX2"	84969	"ENSG00000124191"
"13904"	"chr1"	34632484	34684732	52249	"+"	"C1orf94"	84970	"ENSG00000142698"
"13905"	"chr19"	10654571	10664094	9524	"+"	"ATG4D"	84971	"ENSG00000130734"
"13906"	"chr9"	139615818	139622636	6819	"-"	"SNHG7"	84973	"ENSG00000233016"
"13907"	"chr12"	53645035	53648189	3155	"+"	"MFSD5"	84975	"ENSG00000182544"
"13908"	"chr1"	222988406	223179337	190932	"+"	"DISP1"	84976	"ENSG00000154309"
"13909"	"chr15"	44162962	44487450	324489	"-"	"FRMD5"	84978	"ENSG00000171877"
"13910"	"chr17"	1614805	1620468	5664	"-"	"MIR22HG"	84981	"ENSG00000186594"
"13911"	"chr12"	110171971	110211313	39343	"-"	"FAM222A-AS1"	84983	"ENSG00000255650"
"13912"	"chr3"	196433148	196439164	6017	"-"	"CEP19"	84984	"ENSG00000174007"
"13913"	"chr8"	124191200	124222314	31115	"+"	"FAM83A"	84985	"ENSG00000147689"
"13914"	"chr10"	98757795	99052413	294619	"-"	"ARHGAP19-SLIT1"	84986	"ENSG00000269891"
"13915"	"chr12"	50505762	50514240	8479	"+"	"COX14"	84987	"ENSG00000178449"
"13916"	"chr8"	145703352	145727504	24153	"+"	"PPP1R16A"	84988	"ENSG00000160972"
"13917"	"chr10"	65224989	65226323	1335	"+"	"JMJD1C-AS1"	84989	"ENSG00000272767"
"13918"	"chr10"	6130950	6159420	28471	"+"	"RBM17"	84991	"ENSG00000134453"
"13919"	"chr4"	89442136	89444964	2829	"-"	"PYURF"	84992	"ENSG00000145337"
"13920"	"chr15"	74738318	74753523	15206	"-"	"UBL7"	84993	"ENSG00000138629"
"13921"	"chr17"	72206119	72209481	3363	"-"	"CTD-2514K5.2"	85001	"ENSG00000246731"
"13922"	"chr8"	12039605	12051642	12038	"-"	"FAM86B1"	85002	"ENSG00000186523"
"13923"	"chr12"	15260717	15501609	240893	"-"	"RERG"	85004	"ENSG00000134533"
"13924"	"chr5"	177635498	177659792	24295	"-"	"PHYKPL"	85007	"ENSG00000175309"
"13925"	"chrX"	102862379	102884618	22240	"+"	"TCEAL3"	85012	"ENSG00000196507"
"13926"	"chr4"	4237269	4249950	12682	"-"	"TMEM128"	85013	"ENSG00000132406"
"13927"	"chr9"	139685807	139687709	1903	"+"	"TMEM141"	85014	"ENSG00000244187"
"13928"	"chr6"	99880190	99969604	89415	"-"	"USP45"	85015	"ENSG00000123552"
"13929"	"chr11"	101918174	101955291	37118	"+"	"C11orf70"	85016	"ENSG00000137691"
"13930"	"chr18"	20777108	21017925	240818	"-"	"TMEM241"	85019	"ENSG00000134490"
"13931"	"chr6"	139224630	139309398	84769	"-"	"REPS1"	85021	"ENSG00000135597"
"13932"	"chr7"	77423045	77427897	4853	"-"	"TMEM60"	85025	"ENSG00000135211"
"13933"	"chr9"	140509784	140513358	3575	"-"	"C9orf37"	85026	"ENSG00000203993"
"13934"	"chr5"	150157508	150176296	18789	"+"	"SMIM3"	85027	"ENSG00000256235"
"13935"	"chr1"	28905050	28909495	4446	"-"	"SNHG12"	85028	"ENSG00000197989"
"13936"	"chr6"	27100832	27103070	2239	"+"	"HIST1H2AG"	85235	"ENSG00000196787"
"13937"	"chr6"	27106073	27114619	8547	"-"	"HIST1H2BK"	85236	"ENSG00000197903"
"13938"	"chr17"	39405939	39406904	966	"+"	"KRTAP9-4"	85280	"ENSG00000241595"
"13939"	"chr17"	39340354	39341594	1241	"-"	"KRTAP4-1"	85285	"ENSG00000198443"
"13940"	"chr17"	39305178	39306054	877	"-"	"KRTAP4-5"	85289	"ENSG00000198271"
"13941"	"chr17"	39323484	39324424	941	"-"	"KRTAP4-3"	85290	"ENSG00000196156"
"13942"	"chr17"	39333698	39334460	763	"-"	"KRTAP4-2"	85291	"ENSG00000244537"
"13943"	"chr17"	39149686	39150385	700	"-"	"KRTAP3-3"	85293	"ENSG00000212899"
"13944"	"chr17"	39215495	39216344	850	"-"	"KRTAP2-3"	85294	"ENSG00000212724"
"13945"	"chr19"	3879862	3928077	48216	"+"	"ATCAY"	85300	"ENSG00000167654"
"13946"	"chr9"	116917840	117074791	156952	"+"	"COL27A1"	85301	"ENSG00000196739"
"13947"	"chr17"	73905655	73937221	31567	"-"	"FBF1"	85302	"ENSG00000188878"
"13948"	"chr6"	149825869	149867174	41306	"-"	"PPIL4"	85313	"ENSG00000131013"
"13949"	"chr6"	52226219	52272575	46357	"+"	"PAQR8"	85315	"ENSG00000170915"
"13950"	"chr16"	48200821	48281479	80659	"-"	"ABCC11"	85320	"ENSG00000121270"
"13951"	"chr11"	63273556	63284246	10691	"+"	"LGALS12"	85329	"ENSG00000133317"
"13952"	"chr22"	44639547	44708731	69185	"-"	"KIAA1644"	85352	"ENSG00000138944"
"13953"	"chr22"	51112843	51171726	58884	"+"	"SHANK3"	85358	"ENSG00000251322"
"13954"	"chr22"	20301799	20307603	5805	"-"	"DGCR6L"	85359	"ENSG00000128185"
"13955"	"chr19"	15218214	15225799	7586	"+"	"SYDE1"	85360	"ENSG00000105137"
"13956"	"chr11"	5684425	5959849	275425	"-"	"TRIM5"	85363	"ENSG00000132256"
"13957"	"chr20"	277737	280965	3229	"+"	"ZCCHC3"	85364	"ENSG00000177764"
"13958"	"chr9"	101978708	101984238	5531	"-"	"ALG2"	85365	"ENSG00000119523"
"13959"	"chr20"	30407111	30422492	15382	"+"	"MYLK2"	85366	"ENSG00000101306"
"13960"	"chr1"	110574199	110617263	43065	"+"	"STRIP1"	85369	"ENSG00000143093"
"13961"	"chr22"	20456003	20461786	5784	"-"	"RIMBP3"	85376	"ENSG00000196622"
"13962"	"chr22"	38301664	38338829	37166	"+"	"MICALL1"	85377	"ENSG00000100139"
"13963"	"chr22"	50656118	50683421	27304	"-"	"TUBGCP6"	85378	"ENSG00000128159"
"13964"	"chr22"	25348697	25593415	244719	"+"	"KIAA1671"	85379	"ENSG00000197077"
"13965"	"chr21"	46359925	46396904	36980	"+"	"FAM207A"	85395	"ENSG00000160256"
"13966"	"chr1"	182615239	182653711	38473	"-"	"RGS8"	85397	"ENSG00000135824"
"13967"	"chr3"	15468862	15484120	15259	"+"	"EAF1"	85403	"ENSG00000144597"
"13968"	"chr12"	56214744	56224608	9865	"-"	"DNAJC14"	85406	"ENSG00000135392"
"13969"	"chr16"	50582241	50670647	88407	"+"	"NKD1"	85407	"ENSG00000140807"
"13970"	"chr5"	1008944	1039058	30115	"+"	"NKD2"	85409	"ENSG00000145506"
"13971"	"chr6"	110745890	110797844	51955	"-"	"SLC22A16"	85413	"ENSG00000004809"
"13972"	"chr1"	205626979	205649587	22609	"-"	"SLC45A3"	85414	"ENSG00000158715"
"13973"	"chr19"	33469499	33555794	86296	"-"	"RHPN2"	85415	"ENSG00000131941"
"13974"	"chr13"	100615218	100624163	8946	"-"	"ZIC5"	85416	"ENSG00000139800"
"13975"	"chrX"	49967364	50094909	127546	"+"	"CCNB3"	85417	"ENSG00000147082"
"13976"	"chr12"	42705880	42719920	14041	"-"	"ZCRB1"	85437	"ENSG00000139168"
"13977"	"chr4"	71200683	71202833	2151	"+"	"CABS1"	85438	"ENSG00000145309"
"13978"	"chr14"	81727000	81902809	175810	"-"	"STON2"	85439	"ENSG00000140022"
"13979"	"chr1"	62920399	63153969	233571	"-"	"DOCK7"	85440	"ENSG00000116641"
"13980"	"chr20"	62189439	62205592	16154	"-"	"HELZ2"	85441	"ENSG00000130589"
"13981"	"chr10"	134973951	135039916	65966	"+"	"KNDC1"	85442	"ENSG00000171798"
"13982"	"chr3"	36753913	36781352	27440	"-"	"DCLK3"	85443	"ENSG00000163673"
"13983"	"chr8"	86019382	86058311	38930	"+"	"LRRCC1"	85444	"ENSG00000133739"
"13984"	"chr16"	76311176	76593135	281960	"+"	"CNTNAP4"	85445	"ENSG00000152910"
"13985"	"chr20"	36838890	36889174	50285	"-"	"KIAA1755"	85449	"ENSG00000149633"
"13986"	"chr10"	106071894	106098162	26269	"-"	"ITPRIP"	85450	"ENSG00000148841"
"13987"	"chr17"	73780681	73821886	41206	"+"	"UNK"	85451	"ENSG00000132478"
"13988"	"chr1"	1853396	1935276	81881	"-"	"C1orf222"	85452	"ENSG00000142609"
"13989"	"chr8"	98285717	98290176	4460	"-"	"TSPYL5"	85453	"ENSG00000180543"
"13990"	"chr15"	40650436	40663257	12822	"+"	"DISP2"	85455	"ENSG00000140323"
"13991"	"chr11"	57067112	57092426	25315	"-"	"TNKS1BP1"	85456	"ENSG00000149115"
"13992"	"chr14"	77564440	77583630	19191	"+"	"CIPC"	85457	"ENSG00000198894"
"13993"	"chr11"	111797868	111893308	95441	"+"	"DIXDC1"	85458	"ENSG00000150764"
"13994"	"chr11"	93394805	93463522	68718	"+"	"KIAA1731"	85459	"ENSG00000166004"
"13995"	"chr4"	10441498	10459034	17537	"-"	"ZNF518B"	85460	"ENSG00000178163"
"13996"	"chr2"	159825146	160089170	264025	"+"	"TANC1"	85461	"ENSG00000115183"
"13997"	"chr4"	153857504	153900848	43345	"+"	"FHDC1"	85462	"ENSG00000137460"
"13998"	"chr11"	109964087	110042566	78480	"+"	"ZC3H12C"	85463	"ENSG00000149289"
"13999"	"chr17"	27952956	28257294	304339	"-"	"SSH2"	85464	"ENSG00000141298"
"14000"	"chr2"	26531415	26618759	87345	"+"	"EPT1"	85465	"ENSG00000138018"
"14001"	"chr2"	74724644	74730443	5800	"-"	"LBX2"	85474	"ENSG00000179528"
"14002"	"chr3"	158362067	158410364	48298	"+"	"GFM1"	85476	"ENSG00000168827"
"14003"	"chr7"	12610203	12693228	83026	"+"	"SCIN"	85477	"ENSG00000006747"
"14004"	"chr12"	49297893	49325623	27731	"+"	"CCDC65"	85478	"ENSG00000139537"
"14005"	"chr8"	66933795	67012751	78957	"+"	"DNAJC5B"	85479	"ENSG00000147570"
"14006"	"chr5"	110405760	110413722	7963	"+"	"TSLP"	85480	"ENSG00000145777"
"14007"	"chr8"	87060602	87100850	40249	"-"	"PSKH2"	85481	"ENSG00000147613"
"14008"	"chr14"	20811207	20811844	638	"-"	"RPPH1"	85495	"ENSG00000259001"
"14009"	"chr20"	642240	656823	14584	"-"	"SCRT2"	85508	"ENSG00000215397"
"14010"	"chr19"	8943074	8954016	10943	"+"	"MBD3L1"	85509	"ENSG00000170948"
"14011"	"chr19"	56687389	56697144	9756	"+"	"GALP"	85569	"ENSG00000197487"
"14012"	"chr7"	89964537	90020769	56233	"+"	"GTPBP10"	85865	"ENSG00000105793"
"14013"	"chr2"	55861400	55921045	59646	"-"	"PNPT1"	87178	"ENSG00000138035"
"14014"	"chr13"	101183810	101241782	57973	"-"	"GGACT"	87769	"ENSG00000134864"
"14015"	"chr12"	110436991	110477568	40578	"+"	"ANKRD13A"	88455	"ENSG00000076513"
"14016"	"chr6"	42989383	43001894	12512	"+"	"RRP36"	88745	"ENSG00000124541"
"14017"	"chr7"	99474581	99517223	42643	"-"	"TRIM4"	89122	"ENSG00000146833"
"14018"	"chr21"	43892596	43916464	23869	"-"	"RSPH1"	89765	"ENSG00000160188"
"14019"	"chr21"	43483068	43563563	80496	"+"	"UMODL1"	89766	"ENSG00000177398"
"14020"	"chr18"	61223393	61234244	10852	"+"	"SERPINB12"	89777	"ENSG00000166634"
"14021"	"chr18"	61314813	61391127	76315	"+"	"SERPINB11"	89778	"ENSG00000206072"
"14022"	"chr1"	228194752	228248961	54210	"+"	"WNT3A"	89780	"ENSG00000154342"
"14023"	"chr22"	26839389	26879803	40415	"-"	"HPS4"	89781	"ENSG00000100099"
"14024"	"chr3"	197687071	197770591	83521	"+"	"LMLN"	89782	"ENSG00000185621"
"14025"	"chr19"	51913275	51921057	7783	"-"	"SIGLEC10"	89790	"ENSG00000142512"
"14026"	"chr11"	65809423	65816651	7229	"-"	"GAL3ST3"	89792	"ENSG00000175229"
"14027"	"chr12"	78224685	78606790	382106	"+"	"NAV3"	89795	"ENSG00000067798"
"14028"	"chr1"	201592411	201796102	203692	"+"	"NAV1"	89796	"ENSG00000134369"
"14029"	"chr11"	19372271	20143144	770874	"+"	"NAV2"	89797	"ENSG00000166833"
"14030"	"chrX"	49126306	49157929	31624	"+"	"PPP1R3F"	89801	"ENSG00000049769"
"14031"	"chr6"	39266777	39282329	15553	"-"	"KCNK17"	89822	"ENSG00000124780"
"14032"	"chr15"	30653443	30686052	32610	"-"	"CHRFAM7A"	89832	"ENSG00000166664"
"14033"	"chr15"	30395923	30423960	28038	"+"	"ULK4P3"	89837	"ENSG00000178081"
"14034"	"chr15"	30916697	31065196	148500	"+"	"ARHGAP11B"	89839	"ENSG00000187951"
"14035"	"chr6"	43395104	43418168	23065	"+"	"ABCC10"	89845	"ENSG00000124574"
"14036"	"chr9"	95709733	95798518	88786	"+"	"FGD3"	89846	"ENSG00000127084"
"14037"	"chr5"	141018869	141030986	12118	"-"	"FCHSD1"	89848	"ENSG00000197948"
"14038"	"chr11"	72525353	72554719	29367	"+"	"ATG16L2"	89849	"ENSG00000168010"
"14039"	"chr9"	129089128	129269320	180193	"+"	"MVB12B"	89853	"ENSG00000196814"
"14040"	"chr3"	183205319	183273477	68159	"-"	"KLHL6"	89857	"ENSG00000172578"
"14041"	"chr19"	51994611	52005043	10433	"-"	"SIGLEC12"	89858	"ENSG00000254521"
"14042"	"chr1"	177893091	177953438	60348	"-"	"SEC16B"	89866	"ENSG00000120341"
"14043"	"chr12"	18836103	18890991	54889	"-"	"PLCZ1"	89869	"ENSG00000139151"
"14044"	"chr6"	30130993	30140473	9481	"+"	"TRIM15"	89870	"ENSG00000204610"
"14045"	"chr1"	154293566	154297801	4236	"+"	"AQP10"	89872	"ENSG00000143595"
"14046"	"chr14"	37147636	37642071	494436	"-"	"SLC25A21"	89874	"ENSG00000183032"
"14047"	"chr3"	119421869	119485949	64081	"+"	"MAATS1"	89876	"ENSG00000183833"
"14048"	"chr9"	6328349	6331900	3552	"+"	"TPD52L3"	89882	"ENSG00000170777"
"14049"	"chr7"	142759427	142760735	1309	"-"	"OR6W1P"	89883	"ENSG00000179420"
"14050"	"chr1"	180199421	180249380	49960	"+"	"LHX4"	89884	"ENSG00000121454"
"14051"	"chrX"	150884507	150891666	7160	"+"	"FATE1"	89885	"ENSG00000147378"
"14052"	"chr1"	159921282	159924044	2763	"-"	"SLAMF9"	89886	"ENSG00000162723"
"14053"	"chr19"	55987699	55995854	8156	"+"	"ZNF628"	89887	"ENSG00000197483"
"14054"	"chr13"	41701705	41706882	5178	"-"	"KBTBD6"	89890	"ENSG00000165572"
"14055"	"chr9"	131395940	131419066	23127	"-"	"WDR34"	89891	"ENSG00000119333"
"14056"	"chr12"	112369086	112450970	81885	"-"	"TMEM116"	89894	"ENSG00000198270"
"14057"	"chr12"	109915207	109974507	59301	"+"	"UBE3B"	89910	"ENSG00000151148"
"14058"	"chr16"	15528152	15718885	190734	"+"	"C16orf45"	89927	"ENSG00000166780"
"14059"	"chr14"	73704205	73741348	37144	"+"	"PAPLN"	89932	"ENSG00000100767"
"14060"	"chr16"	718086	724174	6089	"+"	"RHOT2"	89941	"ENSG00000140983"
"14061"	"chr11"	134201768	134248235	46468	"+"	"GLB1L2"	89944	"ENSG00000149328"
"14062"	"chr6"	43008515	43042837	34323	"+"	"KLC4"	89953	"ENSG00000137171"
"14063"	"chr9"	139956581	139965040	8460	"-"	"SAPCD2"	89958	"ENSG00000186193"
"14064"	"chr16"	57220049	57274387	54339	"+"	"RSPRY1"	89970	"ENSG00000159579"
"14065"	"chr15"	35509546	35838394	328849	"-"	"DPH6"	89978	"ENSG00000134146"
"14066"	"chr19"	1248552	1259142	10591	"+"	"MIDN"	90007	"ENSG00000167470"
"14067"	"chr11"	1848709	1858751	10043	"+"	"SYT8"	90019	"ENSG00000149043"
"14068"	"chr6"	83602117	83775560	173444	"-"	"UBE3D"	90025	"ENSG00000118420"
"14069"	"chr14"	94385240	94395954	10715	"+"	"FAM181A"	90050	"ENSG00000140067"
"14070"	"chrX"	48911101	48927509	16409	"+"	"CCDC120"	90060	"ENSG00000147144"
"14071"	"chr12"	55024595	55028679	4085	"-"	"LACRT"	90070	"ENSG00000135413"
"14072"	"chr19"	35417807	35436074	18268	"+"	"ZNF30"	90075	"ENSG00000168661"
"14073"	"chr3"	111451344	111695364	244021	"+"	"PHLDB2"	90102	"ENSG00000144824"
"14074"	"chr3"	183948217	183960117	11901	"+"	"VWA5B2"	90113	"ENSG00000145198"
"14075"	"chr9"	139006427	139010731	4305	"-"	"C9orf69"	90120	"ENSG00000238227"
"14076"	"chrX"	54466834	54471920	5087	"+"	"TSR2"	90121	"ENSG00000158526"
"14077"	"chr2"	163227917	163695240	467324	"-"	"KCNH7"	90134	"ENSG00000184611"
"14078"	"chr14"	105714827	105717430	2604	"+"	"BTBD6"	90135	"ENSG00000184887"
"14079"	"chr11"	44748015	44953972	205958	"+"	"TSPAN18"	90139	"ENSG00000157570"
"14080"	"chr14"	90261013	90421121	160109	"-"	"EFCAB11"	90141	"ENSG00000140025"
"14081"	"chrX"	131760044	132095423	335380	"-"	"HS6ST2"	90161	"ENSG00000171004"
"14082"	"chrX"	131211021	131262048	51028	"-"	"FRMD7"	90167	"ENSG00000165694"
"14083"	"chr20"	39988606	39995467	6862	"-"	"EMILIN3"	90187	"ENSG00000183798"
"14084"	"chr20"	43990577	44005438	14862	"+"	"SYS1"	90196	"ENSG00000204070"
"14085"	"chr20"	44179792	44207965	28174	"-"	"WFDC8"	90199	"ENSG00000158901"
"14086"	"chr20"	44462449	44471914	9466	"+"	"SNX21"	90203	"ENSG00000124104"
"14087"	"chr20"	44509866	44513905	4040	"+"	"ZSWIM1"	90204	"ENSG00000168612"
"14088"	"chr3"	48599160	48601206	2047	"-"	"UCN2"	90226	"ENSG00000145040"
"14089"	"chr1"	11979648	11986485	6838	"-"	"KIAA2013"	90231	"ENSG00000116685"
"14090"	"chr19"	58193337	58228669	35333	"+"	"ZNF551"	90233	"ENSG00000204519"
"14091"	"chr5"	176237478	176307897	70420	"+"	"UNC5A"	90249	"ENSG00000113763"
"14092"	"chr5"	14664773	14699820	35048	"+"	"FAM105B"	90268	"ENSG00000154124"
"14093"	"chr19"	42055886	42093197	37312	"+"	"CEACAM21"	90273	"ENSG00000007129"
"14094"	"chr3"	129120164	129147494	27331	"-"	"EFCAB12"	90288	"ENSG00000172771"
"14095"	"chrX"	117031776	117251303	219528	"-"	"KLHL13"	90293	"ENSG00000003096"
"14096"	"chr17"	27893070	27900175	7106	"+"	"TP53I13"	90313	"ENSG00000167543"
"14097"	"chrX"	89176881	89177882	1002	"+"	"TGIF2LX"	90316	"ENSG00000153779"
"14098"	"chr19"	52616344	52643175	26832	"-"	"ZNF616"	90317	"ENSG00000204611"
"14099"	"chr19"	52772824	52795977	23154	"+"	"ZNF766"	90321	"ENSG00000196214"
"14100"	"chr19"	41816094	41830788	14695	"+"	"CCDC97"	90324	"ENSG00000142039"
"14101"	"chr1"	6684926	6695646	10721	"+"	"THAP3"	90326	"ENSG00000041988"
"14102"	"chr19"	45715879	45737469	21591	"-"	"EXOC3L2"	90332	"ENSG00000130201"
"14103"	"chr19"	53341261	53360902	19642	"-"	"ZNF468"	90333	"ENSG00000204604"
"14104"	"chr19"	53569859	53606689	36831	"-"	"ZNF160"	90338	"ENSG00000170949"
"14105"	"chr19"	51600863	51611627	10765	"-"	"CTU1"	90353	"ENSG00000142544"
"14106"	"chr5"	102594403	102614361	19959	"+"	"C5orf30"	90355	"ENSG00000181751"
"14107"	"chr8"	58907068	59116838	209771	"+"	"FAM110B"	90362	"ENSG00000169122"
"14108"	"chr19"	14063304	14072254	8951	"+"	"DCAF15"	90379	"ENSG00000132017"
"14109"	"chr15"	90118713	90174287	55575	"+"	"TICRR"	90381	"ENSG00000140534"
"14110"	"chr8"	118532952	118552501	19550	"+"	"MED30"	90390	"ENSG00000164758"
"14111"	"chr3"	185194284	185216845	22562	"-"	"TMEM41A"	90407	"ENSG00000163900"
"14112"	"chr17"	26655352	26662515	7164	"-"	"IFT20"	90410	"ENSG00000109083"
"14113"	"chr2"	47129009	47168994	39986	"-"	"MCFD2"	90411	"ENSG00000180398"
"14114"	"chr15"	40820882	40857256	36375	"-"	"C15orf57"	90416	"ENSG00000128891"
"14115"	"chr15"	40674922	40686447	11526	"+"	"KNSTRN"	90417	"ENSG00000128944"
"14116"	"chr2"	46717889	46769696	51808	"-"	"ATP6V1E2"	90423	"ENSG00000250565"
"14117"	"chr15"	40380091	40401093	21003	"-"	"BMF"	90427	"ENSG00000104081"
"14118"	"chr5"	16451628	16465901	14274	"-"	"ZNF622"	90441	"ENSG00000173545"
"14119"	"chr8"	8859657	8974256	114600	"+"	"ERI1"	90459	"ENSG00000104626"
"14120"	"chr19"	13064972	13068050	3079	"-"	"GADD45GIP1"	90480	"ENSG00000179271"
"14121"	"chr19"	57174020	57183151	9132	"-"	"ZNF835"	90485	"ENSG00000127903"
"14122"	"chr12"	107347807	107349275	1469	"-"	"RP11-412D9.4"	90488	"ENSG00000260329"
"14123"	"chr17"	45908993	45915079	6087	"+"	"LRRC46"	90506	"ENSG00000141294"
"14124"	"chr17"	45915058	45918699	3642	"-"	"SCRN2"	90507	"ENSG00000141295"
"14125"	"chr19"	38795753	38807913	12161	"-"	"YIF1B"	90522	"ENSG00000167645"
"14126"	"chr6"	53794780	54131078	336299	"+"	"MLIP"	90523	"ENSG00000146147"
"14127"	"chr15"	45459412	45493373	33962	"-"	"SHF"	90525	"ENSG00000138606"
"14128"	"chr15"	45409569	45422136	12568	"-"	"DUOXA1"	90527	"ENSG00000140254"
"14129"	"chr1"	24683489	24743424	59936	"-"	"STPG1"	90529	"ENSG00000001460"
"14130"	"chr10"	74451889	74647452	195564	"+"	"MCU"	90550	"ENSG00000156026"
"14131"	"chr2"	130896860	130902707	5848	"-"	"CCDC74B"	90557	"ENSG00000152076"
"14132"	"chr19"	12500830	12512085	11256	"-"	"ZNF799"	90576	"ENSG00000196466"
"14133"	"chr19"	11039409	11044211	4803	"+"	"C19orf52"	90580	"ENSG00000142444"
"14134"	"chr17"	41017939	41026386	8448	"+"	"AOC4P"	90586	"ENSG00000260105"
"14135"	"chr19"	12251032	12267546	16515	"-"	"ZNF625"	90589	"ENSG00000257591"
"14136"	"chr19"	12035883	12061588	25706	"+"	"ZNF700"	90592	"ENSG00000196757"
"14137"	"chr19"	11959541	11994565	35025	"+"	"ZNF439"	90594	"ENSG00000171291"
"14138"	"chr5"	130506503	130541119	34617	"+"	"LYRM7"	90624	"ENSG00000186687"
"14139"	"chr13"	33677272	33924767	247496	"-"	"STARD13"	90627	"ENSG00000133121"
"14140"	"chr6"	166322290	166401536	79247	"-"	"LINC00473"	90632	"ENSG00000223414"
"14141"	"chr13"	32974861	33002315	27455	"-"	"N4BP2L1"	90634	"ENSG00000139597"
"14142"	"chr7"	1191707	1200395	8689	"-"	"ZFAND2A"	90637	"ENSG00000178381"
"14143"	"chr7"	938415	1015235	76821	"-"	"COX19"	90639	"ENSG00000240230"
"14144"	"chr19"	20278037	20311299	33263	"+"	"ZNF486"	90649	"ENSG00000256229"
"14145"	"chrY"	3447082	3448082	1001	"+"	"TGIF2LY"	90655	"ENSG00000176679"
"14146"	"chrY"	6778727	6959724	180998	"+"	"TBL1Y"	90665	"ENSG00000092377"
"14147"	"chr14"	24521206	24538937	17732	"+"	"LRRC16B"	90668	"ENSG00000186648"
"14148"	"chr14"	23764852	23772057	7206	"-"	"PPP1R3E"	90673	"ENSG00000235194"
